fips,state,county,pop,land_area,pop_density
36079,New York,Putnam County,98320,230.31,426.9028700447223
36081,New York,Queens County,2253858,108.53,20767.142725513684
36083,New York,Rensselaer County,158714,652.43,243.26594423922876
36085,New York,Richmond County,476143,58.37,8157.3239677916745
36087,New York,Rockland County,325789,173.55,1877.2054163065397
36089,New York,St. Lawrence County,107740,2680.38,40.19579313380938
36091,New York,Saratoga County,229863,809.98,283.7884886046569
36093,New York,Schenectady County,155299,204.52,759.3340504596127
36095,New York,Schoharie County,30999,621.82,49.85204721623621
36097,New York,Schuyler County,17807,328.33,54.2350683763287
36099,New York,Seneca County,34016,323.71,105.08170893701153
36101,New York,Steuben County,95379,1390.56,68.59035208836728
36103,New York,Suffolk County,1476601,912.05,1618.991283372622
36105,New York,Sullivan County,75432,968.13,77.915156022435
36107,New York,Tioga County,48203,518.6,92.94832240647898
36109,New York,Tompkins County,102180,474.65,215.27441272516592
36111,New York,Ulster County,177573,1124.24,157.94937024122962
36113,New York,Warren County,63944,866.95,73.75742545706211
36115,New York,Washington County,61204,831.18,73.63507302870619
36117,New York,Wayne County,89918,603.83,148.91277346272958
36119,New York,Westchester County,967506,430.5,2247.4006968641115
36121,New York,Wyoming County,39859,592.75,67.24420075917334
36123,New York,Yates County,24913,338.14,73.67658366357131
44001,Rhode Island,Bristol County,48479,24.16,2006.5811258278145
44003,Rhode Island,Kent County,164292,168.53,974.8531418738503
44005,Rhode Island,Newport County,82082,102.39,801.6603183904679
44007,Rhode Island,Providence County,638931,409.5,1560.2710622710622
44009,Rhode Island,Washington County,125577,329.24,381.41477341756774
50001,Vermont,Addison County,36777,766.33,47.991074341341196
50003,Vermont,Bennington County,35470,674.98,52.54970517644967
50005,Vermont,Caledonia County,29993,648.86,46.22414696544709
50007,Vermont,Chittenden County,163774,536.58,305.2182340005218
50009,Vermont,Essex County,6163,663.6,9.287221217600964
50011,Vermont,Franklin County,49402,633.71,77.95679411718294
50013,Vermont,Grand Isle County,7235,81.81,88.43662143992177
50015,Vermont,Lamoille County,25362,458.8,55.27898866608544
50017,Vermont,Orange County,28892,687.03,42.05347655852001
50019,Vermont,Orleans County,27037,693.27,38.999235507089594
50021,Vermont,Rutland County,58191,929.82,62.58308059624443
50023,Vermont,Washington County,58409,687.23,84.99192410110152
50025,Vermont,Windham County,42222,785.31,53.76475531955534
50027,Vermont,Windsor County,55062,969.34,56.803598324633256
